Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
14-December-2020,2013.00,2015.25,1987.05,1991.15,1996.943173767619996307,232903,19745,465094056.00,74421,31.95,28.20,-21.85
11-December-2020,2011.20,2037.80,1974.40,2005.60,2017.324650086788925849,689028,43146,1389993169.00,232791,33.79,63.40,-5.60
10-December-2020,2020.00,2028.40,2000.95,2007.20,2010.011381427730709867,270177,14276,543058845.00,59011,21.84,27.45,-12.80
9-December-2020,2013.00,2033.80,2000.00,2026.65,2020.377723654171963342,917242,50395,1853175304.00,417369,45.50,33.80,13.65
8-December-2020,1963.00,2014.20,1950.15,1993.75,1995.945442304314735671,683240,29635,1363709764.00,110610,16.19,64.05,30.75
7-December-2020,1942.00,1965.00,1942.00,1958.05,1955.633496591322934287,293809,20719,574582722.00,129734,44.16,23.00,16.05
4-December-2020,1963.00,1967.85,1940.00,1946.55,1947.790185990029400485,250336,26897,487602004.00,115290,46.05,27.85,-16.45
3-December-2020,1970.00,1981.10,1958.05,1963.45,1964.591709773578747816,1489127,16539,2925526559.00,1293175,86.84,23.05,-6.55
2-December-2020,1962.95,1962.95,1935.00,1957.60,1948.341767436789650128,220138,14040,428904060.00,48462,22.01,27.95,-5.35
1-December-2020,1935.25,1965.90,1931.00,1954.30,1949.744749628795680041,593339,48089,1156859600.00,240644,40.56,34.90,19.05
27-November-2020,1941.00,1955.85,1921.55,1929.85,1938.944316702695573891,523191,40636,1014438216.00,143441,27.42,34.30,-11.15
26-November-2020,1950.05,1964.85,1930.40,1953.80,1946.872260482860343125,450855,19617,877757093.00,193568,42.93,34.45,3.75
25-November-2020,1980.00,1992.00,1942.30,1947.75,1969.551549510263515753,914063,55990,1800294198.00,271195,29.67,49.70,-32.25
24-November-2020,1962.00,1973.60,1931.20,1965.10,1951.959123469028812637,750504,56379,1464953130.00,258433,34.43,42.40,3.10
23-November-2020,1929.00,1970.00,1927.00,1950.80,1951.704235657298640901,598632,38074,1168352610.00,129501,21.63,43.00,21.80
